id,failure
16108,0.23186677187354518
16109,0.23361279390457015
16110,0.19673019780694004
16111,0.1988479905074383
16112,0.20233213047106346
16113,0.17789002469554588
16114,0.23585709113443476
16115,0.1509766300199887
16116,0.17112752458937638
16117,0.20452012444819886
16118,0.27705852978847106
16119,0.1974178360536361
16120,0.17739122766726137
16121,0.1567344331726811
16122,0.20515210014000293
16123,0.23738496081977314
16124,0.21227725614068987
16125,0.16488027825553536
16126,0.25750595482485733
16127,0.2204071097950204
16128,0.256350364170395
16129,0.21433471304558235
16130,0.15372241116888816
16131,0.18057267055708348
16132,0.16251126383468925
16133,0.2523033586663529
16134,0.25362316020546577
16135,0.1884176952976725
16136,0.31320120178059835
16137,0.1816660615166373
16138,0.18827533891146492
16139,0.16627406170934098
16140,0.19472681019541538
16141,0.1762954831926656
16142,0.3186684894782354
16143,0.312117215345022
16144,0.2711450791729596
16145,0.234698235462755
16146,0.18035460906890816
16147,0.14667128553972575
16148,0.16973414340134402
16149,0.20349939546047202
16150,0.1901204713014677
16151,0.20784776089011636
16152,0.24961929308716568
16153,0.22238687953852143
16154,0.18698605085224734
16155,0.19013242018209464
16156,0.26766267729313836
16157,0.2167357935101358
16158,0.1907186193984498
16159,0.27231218219390246
16160,0.16568323628793888
16161,0.2458016608133351
16162,0.22945689186632495
16163,0.2247712065115532
16164,0.14624445295897281
16165,0.14688508842372872
16166,0.2378770045474992
16167,0.20760510660344514
16168,0.16260634068524393
16169,0.34452676381155395
16170,0.24108526440201508
16171,0.1515844066360899
16172,0.13756293031973874
16173,0.18858388218811725
16174,0.23142479125489804
16175,0.1793930089308599
16176,0.22177018880512858
16177,0.17905055257430696
16178,0.19501901985551642
16179,0.1641017346538651
16180,0.20866008808407466
16181,0.1868327371819916
16182,0.16580126661978872
16183,0.35996464472543943
16184,0.196129999210085
16185,0.254343632275081
16186,0.2356333898293263
16187,0.14315208032722337
16188,0.38787703419295183
16189,0.2604396732607885
16190,0.18417124134093962
16191,0.1750033053098467
16192,0.21248494797798362
16193,0.17522749464951284
16194,0.30634882461117846
16195,0.2986373998013827
16196,0.30839740576660385
16197,0.16616651359115292
16198,0.20435604786658648
16199,0.20434343064377156
16200,0.16602678431935453
16201,0.18939267604677318
16202,0.276887586459691
16203,0.27975554555408794
16204,0.1836936729123568
16205,0.2683782141530836
16206,0.2726352249609103
16207,0.19775002287002227
16208,0.13527743786721352
16209,0.1962401358933478
16210,0.15597695250635316
16211,0.18719849121854218
16212,0.1783785466488874
